test err 1:0.2276, 3:0.3244, 5:0.3551, 7:0.3659, 10:0.3749
test ndcg 1:0.5069, 3:0.5104, 5:0.5172, 7:0.5273, 10:0.5474
test err 1:0.2405, 3:0.3410, 5:0.3681, 7:0.3788, 10:0.3871
test ndcg 1:0.4988, 3:0.4983, 5:0.5140, 7:0.5217, 10:0.5418
test err 1:0.2431, 3:0.3332, 5:0.3644, 7:0.3743, 10:0.3829
test ndcg 1:0.4724, 3:0.4907, 5:0.4984, 7:0.5134, 10:0.5401
test err 1:0.2267, 3:0.3265, 5:0.3539, 7:0.3663, 10:0.3764
test ndcg 1:0.5138, 3:0.5108, 5:0.5157, 7:0.5266, 10:0.5486
test err 1:0.2457, 3:0.3400, 5:0.3680, 7:0.3790, 10:0.3881
test ndcg 1:0.4701, 3:0.4950, 5:0.5063, 7:0.5174, 10:0.5372
test err 1:0.2302, 3:0.3276, 5:0.3574, 7:0.3687, 10:0.3774
test ndcg 1:0.5000, 3:0.5075, 5:0.5161, 7:0.5315, 10:0.5480
test err 1:0.2422, 3:0.3391, 5:0.3669, 7:0.3802, 10:0.3878
test ndcg 1:0.5069, 3:0.5075, 5:0.5173, 7:0.5317, 10:0.5505
test err 1:0.2440, 3:0.3366, 5:0.3659, 7:0.3778, 10:0.3860
test ndcg 1:0.5207, 3:0.5168, 5:0.5225, 7:0.5329, 10:0.5522
test err 1:0.2405, 3:0.3406, 5:0.3674, 7:0.3779, 10:0.3864
test ndcg 1:0.5000, 3:0.5043, 5:0.5161, 7:0.5305, 10:0.5461
test err 1:0.2353, 3:0.3315, 5:0.3610, 7:0.3730, 10:0.3803
test ndcg 1:0.5034, 3:0.5071, 5:0.5151, 7:0.5318, 10:0.5483
test err 1:0.2397, 3:0.3372, 5:0.3646, 7:0.3776, 10:0.3853
test ndcg 1:0.5172, 3:0.5114, 5:0.5138, 7:0.5353, 10:0.5576
test err 1:0.2466, 3:0.3420, 5:0.3681, 7:0.3817, 10:0.3902
test ndcg 1:0.4942, 3:0.4919, 5:0.5070, 7:0.5232, 10:0.5420
test err 1:0.2345, 3:0.3302, 5:0.3577, 7:0.3694, 10:0.3783
