**************************************************Fold-1**************************************************
test err 1:0.2388, 3:0.3358, 5:0.3632, 10:0.3821, 20:0.3893
test ndcg 1:0.5034, 3:0.5074, 5:0.5152, 10:0.5413, 20:0.6044
test err 1:0.2397, 3:0.3393, 5:0.3665, 10:0.3849, 20:0.3919
test ndcg 1:0.5115, 3:0.5111, 5:0.5194, 10:0.5463, 20:0.6062
test err 1:0.2457, 3:0.3418, 5:0.3692, 10:0.3878, 20:0.3943
test ndcg 1:0.4897, 3:0.4870, 5:0.5019, 10:0.5301, 20:0.5977
test err 1:0.2379, 3:0.3272, 5:0.3602, 10:0.3782, 20:0.3854
test ndcg 1:0.4897, 3:0.4934, 5:0.5043, 10:0.5378, 20:0.5991
test err 1:0.2328, 3:0.3299, 5:0.3579, 10:0.3768, 20:0.3837
test ndcg 1:0.5011, 3:0.4998, 5:0.5074, 10:0.5387, 20:0.5993
test err 1:0.2414, 3:0.3337, 5:0.3605, 10:0.3811, 20:0.3874
test ndcg 1:0.4770, 3:0.5000, 5:0.5131, 10:0.5379, 20:0.5999
test err 1:0.2336, 3:0.3357, 5:0.3645, 10:0.3819, 20:0.3887
test ndcg 1:0.4977, 3:0.4941, 5:0.4958, 10:0.5356, 20:0.5964
test err 1:0.2388, 3:0.3333, 5:0.3586, 10:0.3796, 20:0.3861
test ndcg 1:0.5023, 3:0.4935, 5:0.4976, 10:0.5335, 20:0.5955
test err 1:0.2405, 3:0.3341, 5:0.3604, 10:0.3808, 20:0.3876
test ndcg 1:0.5011, 3:0.4970, 5:0.5071, 10:0.5388, 20:0.6015
test err 1:0.2379, 3:0.3304, 5:0.3622, 10:0.3803, 20:0.3872
test ndcg 1:0.4954, 3:0.5004, 5:0.5036, 10:0.5367, 20:0.5963
test err 1:0.2353, 3:0.3329, 5:0.3597, 10:0.3786, 20:0.3853
test ndcg 1:0.4874, 3:0.4976, 5:0.5075, 10:0.5330, 20:0.5996
test err 1:0.2345, 3:0.3346, 5:0.3626, 10:0.3802, 20:0.3878
test ndcg 1:0.4920, 3:0.4955, 5:0.5073, 10:0.5432, 20:0.5994
test err 1:0.2397, 3:0.3341, 5:0.3637, 10:0.3831, 20:0.3895
test ndcg 1:0.5046, 3:0.5022, 5:0.5097, 10:0.5458, 20:0.6021
test err 1:0.2457, 3:0.3379, 5:0.3660, 10:0.3859, 20:0.3920
test ndcg 1:0.4828, 3:0.4886, 5:0.4967, 10:0.5322, 20:0.5934
test err 1:0.2328, 3:0.3300, 5:0.3572, 10:0.3760, 20:0.3831
test ndcg 1:0.4965, 3:0.4760, 5:0.4877, 10:0.5292, 20:0.5908
test err 1:0.2379, 3:0.3230, 5:0.3508, 10:0.3738, 20:0.3806
test ndcg 1:0.5138, 3:0.4880, 5:0.5027, 10:0.5361, 20:0.5945
test err 1:0.2457, 3:0.3310, 5:0.3608, 10:0.3796, 20:0.3866
test ndcg 1:0.4977, 3:0.5063, 5:0.5079, 10:0.5401, 20:0.6003
test err 1:0.2457, 3:0.3437, 5:0.3683, 10:0.3870, 20:0.3939
test ndcg 1:0.5034, 3:0.5041, 5:0.5076, 10:0.5374, 20:0.6006
test err 1:0.2397, 3:0.3371, 5:0.3620, 10:0.3815, 20:0.3885
test ndcg 1:0.4965, 3:0.4936, 5:0.5092, 10:0.5380, 20:0.5985
test err 1:0.2362, 3:0.3333, 5:0.3632, 10:0.3811, 20:0.3881
test ndcg 1:0.5046, 3:0.4954, 5:0.5037, 10:0.5310, 20:0.5979
test err 1:0.2388, 3:0.3298, 5:0.3585, 10:0.3775, 20:0.3852
test ndcg 1:0.5069, 3:0.4985, 5:0.5088, 10:0.5413, 20:0.6021
test err 1:0.2457, 3:0.3379, 5:0.3654, 10:0.3851, 20:0.3920
test ndcg 1:0.5115, 3:0.4999, 5:0.5076, 10:0.5433, 20:0.6055
test err 1:0.2474, 3:0.3388, 5:0.3669, 10:0.3868, 20:0.3933
test ndcg 1:0.4885, 3:0.5007, 5:0.5043, 10:0.5346, 20:0.5977
test err 1:0.2353, 3:0.3339, 5:0.3607, 10:0.3804, 20:0.3871
test ndcg 1:0.4977, 3:0.4905, 5:0.5019, 10:0.5383, 20:0.5986
test err 1:0.2336, 3:0.3277, 5:0.3567, 10:0.3771, 20:0.3835
test ndcg 1:0.4931, 3:0.5024, 5:0.5026, 10:0.5353, 20:0.5986
test err 1:0.2302, 3:0.3329, 5:0.3571, 10:0.3772, 20:0.3841
test ndcg 1:0.5149, 3:0.4937, 5:0.4985, 10:0.5332, 20:0.5961
test err 1:0.2466, 3:0.3331, 5:0.3612, 10:0.3814, 20:0.3886
test ndcg 1:0.5092, 3:0.4925, 5:0.5006, 10:0.5347, 20:0.5962
test err 1:0.2422, 3:0.3343, 5:0.3618, 10:0.3823, 20:0.3893
test ndcg 1:0.4828, 3:0.4945, 5:0.5055, 10:0.5372, 20:0.6002
test err 1:0.2345, 3:0.3300, 5:0.3589, 10:0.3783, 20:0.3850
test ndcg 1:0.5092, 3:0.5032, 5:0.5064, 10:0.5342, 20:0.5968
test err 1:0.2405, 3:0.3362, 5:0.3622, 10:0.3821, 20:0.3886
test ndcg 1:0.4908, 3:0.5008, 5:0.5145, 10:0.5360, 20:0.5977
test err 1:0.2405, 3:0.3371, 5:0.3665, 10:0.3840, 20:0.3906
test ndcg 1:0.5034, 3:0.4986, 5:0.5092, 10:0.5354, 20:0.5988
test err 1:0.2431, 3:0.3365, 5:0.3663, 10:0.3845, 20:0.3907
test ndcg 1:0.4954, 3:0.5043, 5:0.5104, 10:0.5396, 20:0.6059
test err 1:0.2371, 3:0.3386, 5:0.3651, 10:0.3837, 20:0.3907
test ndcg 1:0.4805, 3:0.4836, 5:0.4975, 10:0.5270, 20:0.5903
test err 1:0.2310, 3:0.3260, 5:0.3551, 10:0.3738, 20:0.3812
test ndcg 1:0.4965, 3:0.4920, 5:0.4986, 10:0.5310, 20:0.5941
test err 1:0.2397, 3:0.3323, 5:0.3590, 10:0.3790, 20:0.3862
test ndcg 1:0.5092, 3:0.4949, 5:0.5046, 10:0.5409, 20:0.5978
test err 1:0.2491, 3:0.3363, 5:0.3659, 10:0.3844, 20:0.3914
test ndcg 1:0.4977, 3:0.5041, 5:0.5129, 10:0.5389, 20:0.6027
test err 1:0.2353, 3:0.3356, 5:0.3603, 10:0.3799, 20:0.3868
test ndcg 1:0.4977, 3:0.4886, 5:0.4988, 10:0.5299, 20:0.5922
test err 1:0.2388, 3:0.3298, 5:0.3582, 10:0.3783, 20:0.3851
test ndcg 1:0.4862, 3:0.4975, 5:0.5021, 10:0.5308, 20:0.5941
test err 1:0.2284, 3:0.3295, 5:0.3547, 10:0.3743, 20:0.3816
test ndcg 1:0.4828, 3:0.4828, 5:0.4959, 10:0.5270, 20:0.5897
test err 1:0.2310, 3:0.3262, 5:0.3535, 10:0.3732, 20:0.3807
test ndcg 1:0.4862, 3:0.4767, 5:0.4888, 10:0.5197, 20:0.5868
test err 1:0.2284, 3:0.3214, 5:0.3495, 10:0.3691, 20:0.3767
test ndcg 1:0.4713, 3:0.4727, 5:0.4793, 10:0.5163, 20:0.5833
test err 1:0.2241, 3:0.3172, 5:0.3451, 10:0.3655, 20:0.3731
test ndcg 1:0.4897, 3:0.4936, 5:0.4975, 10:0.5311, 20:0.5958
test err 1:0.2345, 3:0.3299, 5:0.3569, 10:0.3763, 20:0.3834
test ndcg 1:0.4931, 3:0.4958, 5:0.4997, 10:0.5263, 20:0.5926
test err 1:0.2336, 3:0.3331, 5:0.3592, 10:0.3775, 20:0.3851
test ndcg 1:0.4839, 3:0.4900, 5:0.4992, 10:0.5274, 20:0.5861
