test ndcg 1:0.4563, 3:0.4834, 5:0.5095, 7:0.5296, 10:0.5419
test ndcg 1:0.4230, 3:0.4362, 5:0.4506, 7:0.4610, 10:0.4825
test ndcg 1:0.4736, 3:0.5010, 5:0.5157, 7:0.5280, 10:0.5461
test ndcg 1:0.4621, 3:0.4899, 5:0.5109, 7:0.5228, 10:0.5326
test ndcg 1:0.4816, 3:0.5019, 5:0.5099, 7:0.5229, 10:0.5403
test ndcg 1:0.4724, 3:0.4772, 5:0.4936, 7:0.5102, 10:0.5313
test ndcg 1:0.5276, 3:0.5229, 5:0.5346, 7:0.5424, 10:0.5556
test ndcg 1:0.4736, 3:0.4977, 5:0.5170, 7:0.5221, 10:0.5402
test ndcg 1:0.4621, 3:0.4774, 5:0.4952, 7:0.5091, 10:0.5258
test ndcg 1:0.4690, 3:0.5003, 5:0.5082, 7:0.5260, 10:0.5462
test ndcg 1:0.4977, 3:0.4869, 5:0.4978, 7:0.5163, 10:0.5333
test ndcg 1:0.5000, 3:0.5143, 5:0.5198, 7:0.5363, 10:0.5505
test ndcg 1:0.5000, 3:0.5152, 5:0.5169, 7:0.5333, 10:0.5525
test ndcg 1:0.4782, 3:0.4989, 5:0.5077, 7:0.5267, 10:0.5442
test ndcg 1:0.4667, 3:0.4891, 5:0.5003, 7:0.5125, 10:0.5280
test ndcg 1:0.4977, 3:0.5000, 5:0.5119, 7:0.5282, 10:0.5435
test ndcg 1:0.4897, 3:0.5097, 5:0.5175, 7:0.5371, 10:0.5494
test ndcg 1:0.5034, 3:0.5193, 5:0.5219, 7:0.5379, 10:0.5469
test ndcg 1:0.4724, 3:0.4946, 5:0.5051, 7:0.5189, 10:0.5358
test ndcg 1:0.5046, 3:0.5189, 5:0.5241, 7:0.5340, 10:0.5529
test ndcg 1:0.5069, 3:0.5175, 5:0.5299, 7:0.5453, 10:0.5621
test ndcg 1:0.5241, 3:0.5220, 5:0.5308, 7:0.5400, 10:0.5580
test ndcg 1:0.4965, 3:0.5150, 5:0.5183, 7:0.5348, 10:0.5492
test ndcg 1:0.4977, 3:0.5153, 5:0.5262, 7:0.5363, 10:0.5538
test ndcg 1:0.5057, 3:0.5118, 5:0.5196, 7:0.5390, 10:0.5542
test ndcg 1:0.4862, 3:0.5041, 5:0.5157, 7:0.5300, 10:0.5460
test ndcg 1:0.4805, 3:0.5073, 5:0.5145, 7:0.5285, 10:0.5442
test ndcg 1:0.5034, 3:0.5143, 5:0.5219, 7:0.5352, 10:0.5541
test ndcg 1:0.4770, 3:0.5096, 5:0.5162, 7:0.5289, 10:0.5484
test ndcg 1:0.4609, 3:0.4936, 5:0.5001, 7:0.5176, 10:0.5337
test ndcg 1:0.5126, 3:0.5157, 5:0.5238, 7:0.5307, 10:0.5503
test ndcg 1:0.4977, 3:0.5151, 5:0.5172, 7:0.5336, 10:0.5493
test ndcg 1:0.4793, 3:0.5091, 5:0.5131, 7:0.5282, 10:0.5433
test ndcg 1:0.4908, 3:0.5000, 5:0.5113, 7:0.5286, 10:0.5427
test ndcg 1:0.4931, 3:0.5049, 5:0.5118, 7:0.5267, 10:0.5470
test ndcg 1:0.4954, 3:0.5078, 5:0.5151, 7:0.5294, 10:0.5469
test ndcg 1:0.4920, 3:0.5056, 5:0.5178, 7:0.5266, 10:0.5464
test ndcg 1:0.5000, 3:0.5092, 5:0.5167, 7:0.5313, 10:0.5464
test ndcg 1:0.4862, 3:0.5135, 5:0.5163, 7:0.5273, 10:0.5424
test ndcg 1:0.5023, 3:0.5137, 5:0.5138, 7:0.5254, 10:0.5451
test ndcg 1:0.4862, 3:0.5032, 5:0.5073, 7:0.5222, 10:0.5379
test ndcg 1:0.4988, 3:0.5074, 5:0.5090, 7:0.5287, 10:0.5444
test ndcg 1:0.5080, 3:0.5064, 5:0.5104, 7:0.5254, 10:0.5452
test ndcg 1:0.4920, 3:0.4957, 5:0.5056, 7:0.5243, 10:0.5420
test ndcg 1:0.4931, 3:0.5064, 5:0.5110, 7:0.5234, 10:0.5407
test ndcg 1:0.5034, 3:0.5059, 5:0.5176, 7:0.5324, 10:0.5461
