test ndcg 1:0.5556, 3:0.5613, 5:0.5793, 7:0.6071, 10:0.6513
test ndcg 1:0.5169, 3:0.5199, 5:0.5499, 7:0.5888, 10:0.6286
test ndcg 1:0.4734, 3:0.5042, 5:0.5424, 7:0.5787, 10:0.6175
test ndcg 1:0.5266, 3:0.5355, 5:0.5741, 7:0.6029, 10:0.6383
test ndcg 1:0.4783, 3:0.5245, 5:0.5510, 7:0.5877, 10:0.6280
test ndcg 1:0.5121, 3:0.5031, 5:0.5564, 7:0.5822, 10:0.6239
test ndcg 1:0.5362, 3:0.5413, 5:0.5769, 7:0.6007, 10:0.6434
test ndcg 1:0.5072, 3:0.5162, 5:0.5562, 7:0.5928, 10:0.6308
test ndcg 1:0.5169, 3:0.5272, 5:0.5803, 7:0.6011, 10:0.6388
test ndcg 1:0.4783, 3:0.4769, 5:0.5321, 7:0.5678, 10:0.5984
test ndcg 1:0.5314, 3:0.5324, 5:0.5644, 7:0.5964, 10:0.6411
test ndcg 1:0.5217, 3:0.5291, 5:0.5654, 7:0.5966, 10:0.6410
test ndcg 1:0.4928, 3:0.5059, 5:0.5570, 7:0.5907, 10:0.6285
test ndcg 1:0.4831, 3:0.5139, 5:0.5663, 7:0.5844, 10:0.6341
test ndcg 1:0.4686, 3:0.5211, 5:0.5654, 7:0.5905, 10:0.6304
test ndcg 1:0.4879, 3:0.5130, 5:0.5591, 7:0.5841, 10:0.6300
test ndcg 1:0.4541, 3:0.5015, 5:0.5513, 7:0.5793, 10:0.6237
test ndcg 1:0.4734, 3:0.5174, 5:0.5566, 7:0.5849, 10:0.6247
test ndcg 1:0.5169, 3:0.5448, 5:0.5670, 7:0.5987, 10:0.6433
test ndcg 1:0.5652, 3:0.5625, 5:0.5813, 7:0.6096, 10:0.6533
test ndcg 1:0.4783, 3:0.5335, 5:0.5664, 7:0.5901, 10:0.6374
test ndcg 1:0.5024, 3:0.5189, 5:0.5583, 7:0.5909, 10:0.6322
test ndcg 1:0.5266, 3:0.5386, 5:0.5756, 7:0.6086, 10:0.6473
test ndcg 1:0.4928, 3:0.5036, 5:0.5634, 7:0.5812, 10:0.6303
test ndcg 1:0.5266, 3:0.5184, 5:0.5578, 7:0.6044, 10:0.6327
test ndcg 1:0.5072, 3:0.5141, 5:0.5712, 7:0.5887, 10:0.6358
test ndcg 1:0.5024, 3:0.5165, 5:0.5693, 7:0.5899, 10:0.6289
test ndcg 1:0.4928, 3:0.5175, 5:0.5646, 7:0.5901, 10:0.6335
test ndcg 1:0.4879, 3:0.5142, 5:0.5470, 7:0.5862, 10:0.6174
test ndcg 1:0.4783, 3:0.5140, 5:0.5546, 7:0.5789, 10:0.6204
test ndcg 1:0.4879, 3:0.5079, 5:0.5479, 7:0.5796, 10:0.6173
test ndcg 1:0.4831, 3:0.5003, 5:0.5520, 7:0.5872, 10:0.6238
test ndcg 1:0.5024, 3:0.5208, 5:0.5546, 7:0.5791, 10:0.6237
test ndcg 1:0.4638, 3:0.5100, 5:0.5486, 7:0.5797, 10:0.6228
test ndcg 1:0.4589, 3:0.5029, 5:0.5477, 7:0.5828, 10:0.6234
test ndcg 1:0.4928, 3:0.5072, 5:0.5396, 7:0.5709, 10:0.6112
test ndcg 1:0.4686, 3:0.5087, 5:0.5505, 7:0.5807, 10:0.6228
test ndcg 1:0.5072, 3:0.5130, 5:0.5584, 7:0.5838, 10:0.6159
test ndcg 1:0.5217, 3:0.5204, 5:0.5572, 7:0.5915, 10:0.6379
test ndcg 1:0.4879, 3:0.5100, 5:0.5536, 7:0.5760, 10:0.6236
test ndcg 1:0.5314, 3:0.5104, 5:0.5603, 7:0.5924, 10:0.6406
test ndcg 1:0.4783, 3:0.4937, 5:0.5576, 7:0.5826, 10:0.6229
test ndcg 1:0.4783, 3:0.5005, 5:0.5533, 7:0.5839, 10:0.6296
test ndcg 1:0.4444, 3:0.5085, 5:0.5379, 7:0.5713, 10:0.6132
test ndcg 1:0.4686, 3:0.5118, 5:0.5549, 7:0.5748, 10:0.6175
test ndcg 1:0.4879, 3:0.5214, 5:0.5447, 7:0.5805, 10:0.6212
test ndcg 1:0.4686, 3:0.5169, 5:0.5649, 7:0.5843, 10:0.6191
test ndcg 1:0.5024, 3:0.5078, 5:0.5531, 7:0.5845, 10:0.6292
test ndcg 1:0.4976, 3:0.5117, 5:0.5532, 7:0.5809, 10:0.6219
test ndcg 1:0.4251, 3:0.4965, 5:0.5417, 7:0.5720, 10:0.6089
test ndcg 1:0.4831, 3:0.5105, 5:0.5512, 7:0.5787, 10:0.6175
test ndcg 1:0.4638, 3:0.5028, 5:0.5519, 7:0.5828, 10:0.6164
test ndcg 1:0.4783, 3:0.5012, 5:0.5435, 7:0.5793, 10:0.6198
