**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/mnt/disk/zf/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.93, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=1, page=3, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3333, 3:0.3608, 5:0.4149, 10:0.4989, 20:0.3325
test err 1:0.2100, 3:0.3140, 5:0.3425, 10:0.3614, 20:0.2318
test ndcg 1:0.2933, 3:0.3259, 5:0.4096, 10:0.4975, 20:0.3357
test err 1:0.1900, 3:0.2798, 5:0.3280, 10:0.3441, 20:0.2189
test ndcg 1:0.2867, 3:0.3216, 5:0.3863, 10:0.4885, 20:0.3376
test err 1:0.1750, 3:0.2862, 5:0.3196, 10:0.3410, 20:0.2240
test ndcg 1:0.2800, 3:0.3624, 5:0.4204, 10:0.4879, 20:0.3408
test err 1:0.1700, 3:0.3083, 5:0.3364, 10:0.3518, 20:0.2306
test ndcg 1:0.2933, 3:0.3509, 5:0.4114, 10:0.4887, 20:0.3341
test err 1:0.1800, 3:0.3031, 5:0.3333, 10:0.3497, 20:0.2242
test ndcg 1:0.3000, 3:0.3450, 5:0.4205, 10:0.4949, 20:0.3426
test err 1:0.2050, 3:0.3158, 5:0.3524, 10:0.3690, 20:0.2489
test ndcg 1:0.2867, 3:0.3329, 5:0.4182, 10:0.4850, 20:0.3436
test err 1:0.1750, 3:0.2924, 5:0.3314, 10:0.3461, 20:0.2359
test ndcg 1:0.2533, 3:0.3426, 5:0.4132, 10:0.4897, 20:0.3335
test err 1:0.1600, 3:0.2905, 5:0.3263, 10:0.3418, 20:0.2217
test ndcg 1:0.2733, 3:0.3345, 5:0.3950, 10:0.4810, 20:0.3267
test err 1:0.1750, 3:0.2842, 5:0.3206, 10:0.3383, 20:0.2200
test ndcg 1:0.3533, 3:0.3969, 5:0.4419, 10:0.5160, 20:0.3395
test err 1:0.2250, 3:0.3499, 5:0.3702, 10:0.3856, 20:0.2421
test ndcg 1:0.3000, 3:0.3649, 5:0.4311, 10:0.5028, 20:0.3341
test err 1:0.1850, 3:0.3075, 5:0.3442, 10:0.3583, 20:0.2277
