**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
finish! Fold 2 ndcg 1:0.3400	3:0.3633	5:0.4329	10:0.5177	20:0.3322
finish! Fold 2 err 1:0.2150	3:0.3139	5:0.3551	10:0.3692	20:0.2311
**************************************************Fold-3**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3939, 3:0.4092, 5:0.4460, 10:0.5266, 20:0.3589
test err 1:0.2348, 3:0.3143, 5:0.3393, 10:0.3628, 20:0.2474
test ndcg 1:0.3990, 3:0.4172, 5:0.4614, 10:0.5434, 20:0.3540
test err 1:0.2386, 3:0.3233, 5:0.3502, 10:0.3706, 20:0.2438
test ndcg 1:0.3434, 3:0.3866, 5:0.4156, 10:0.5060, 20:0.3406
test err 1:0.2045, 3:0.2930, 5:0.3162, 10:0.3411, 20:0.2255
test ndcg 1:0.3283, 3:0.3740, 5:0.4089, 10:0.5010, 20:0.3316
test err 1:0.1932, 3:0.2829, 5:0.3070, 10:0.3316, 20:0.2240
test ndcg 1:0.3636, 3:0.3840, 5:0.4171, 10:0.5046, 20:0.3422
test err 1:0.2121, 3:0.2948, 5:0.3175, 10:0.3403, 20:0.2307
test ndcg 1:0.4040, 3:0.4248, 5:0.4530, 10:0.5359, 20:0.3526
test err 1:0.2424, 3:0.3280, 5:0.3489, 10:0.3681, 20:0.2434
test ndcg 1:0.4192, 3:0.4296, 5:0.4744, 10:0.5436, 20:0.3571
test err 1:0.2462, 3:0.3302, 5:0.3551, 10:0.3709, 20:0.2397
test ndcg 1:0.3990, 3:0.4432, 5:0.4776, 10:0.5450, 20:0.3668
test err 1:0.2311, 3:0.3341, 5:0.3553, 10:0.3733, 20:0.2497
test ndcg 1:0.3838, 3:0.4154, 5:0.4411, 10:0.5336, 20:0.3391
test err 1:0.2197, 3:0.3149, 5:0.3428, 10:0.3629, 20:0.2145
test ndcg 1:0.3232, 3:0.3585, 5:0.4004, 10:0.5058, 20:0.3327
test err 1:0.2045, 3:0.2919, 5:0.3202, 10:0.3444, 20:0.2192
test ndcg 1:0.3485, 3:0.3885, 5:0.4328, 10:0.5360, 20:0.3488
test err 1:0.2159, 3:0.3071, 5:0.3347, 10:0.3604, 20:0.2337
test ndcg 1:0.3939, 3:0.4348, 5:0.4793, 10:0.5627, 20:0.3705
test err 1:0.2500, 3:0.3404, 5:0.3656, 10:0.3881, 20:0.2563
test ndcg 1:0.4141, 3:0.4330, 5:0.4798, 10:0.5645, 20:0.3746
test err 1:0.2424, 3:0.3310, 5:0.3553, 10:0.3779, 20:0.2540
test ndcg 1:0.4141, 3:0.4421, 5:0.4919, 10:0.5731, 20:0.3820
test err 1:0.2424, 3:0.3339, 5:0.3594, 10:0.3798, 20:0.2546
test ndcg 1:0.4293, 3:0.4624, 5:0.5083, 10:0.5867, 20:0.3767
test err 1:0.2689, 3:0.3557, 5:0.3812, 10:0.4010, 20:0.2564
test ndcg 1:0.4343, 3:0.4628, 5:0.4978, 10:0.5680, 20:0.3515
